89.44.197.64:8443#BG [247.51ms 3.69Mbps]
13.140.29.45:443#BG [248.5ms 0.18Mbps]
95.182.120.255:443#RU [248.66ms 2.66Mbps]
45.137.201.143:443#BG [248.78ms 0.29Mbps]
31.13.248.201:8443#BG [249.19ms 0.27Mbps]
84.208.211.208:8443#NO [250.48ms 0.18Mbps]
193.168.140.197:8443#RO [250.68ms 0.22Mbps]
194.247.182.120:8443#IS [251.52ms 2.87Mbps]
57.131.32.25:2053#IT [251.98ms 0.18Mbps]
162.141.93.190:2083#ES [252.0ms 0.13Mbps]
172.233.97.34:443#ES [253.12ms 0.0Mbps]
193.142.58.147:2087#RO [257.26ms 4.08Mbps]
213.155.22.139:443#KZ [259.05ms 0.53Mbps]
193.142.58.170:8443#RO [260.5ms 0.2Mbps]
185.146.234.91:443#IS [262.54ms 0.27Mbps]
185.114.72.31:2053#ES [262.58ms 0.88Mbps]
91.218.212.223:443#UA [263.46ms 0.15Mbps]
188.240.213.98:8443#KG [263.67ms 0.24Mbps]
195.162.68.79:443#IS [265.0ms 2.69Mbps]
188.132.192.190:2053#TR [266.15ms 3.12Mbps]
45.13.38.174:8443#RO [268.47ms 0.91Mbps]
185.114.72.31:8443#ES [268.97ms 2.5Mbps]
138.124.107.35:443#TR [269.82ms 1.37Mbps]
38.180.100.80:443#RS [271.42ms 0.3Mbps]
172.235.229.214:443#IT [271.84ms 0.03Mbps]
152.53.100.128:443#AT [271.87ms 1.23Mbps]
37.221.79.194:443#TR [271.97ms 3.01Mbps]
155.103.71.159:443#TR [272.29ms 0.24Mbps]
80.211.134.75:443#IT [272.43ms 0.12Mbps]
155.103.69.37:8443#TR [272.91ms 3.24Mbps]
65.20.105.75:443#ES [272.93ms 1.04Mbps]
166.1.228.218:443#CA [273.33ms 0.14Mbps]
198.55.102.68:2083#IE [273.63ms 3.07Mbps]
155.103.70.208:2053#TR [273.82ms 0.26Mbps]
199.189.252.44:443#KZ [274.06ms 0.15Mbps]
212.192.6.66:443#TR [274.17ms 0.22Mbps]
193.233.232.49:2087#AT [275.15ms 1.21Mbps]
178.128.227.189:443#CA [275.62ms 0.08Mbps]
37.221.79.75:8443#TR [275.93ms 0.22Mbps]
162.141.93.191:443#ES [276.15ms 0.17Mbps]
52.19.138.237:8443#IE [277.0ms 0.19Mbps]
95.130.84.36:2053#BY [277.52ms 0.12Mbps]
5.35.103.185:8443#SK [277.59ms 0.14Mbps]
84.51.54.101:8443#TR [278.72ms 0.45Mbps]
207.90.192.164:8443#CA [278.76ms 0.4Mbps]
185.114.72.191:443#ES [279.21ms 1.15Mbps]
5.249.148.85:443#IT [279.24ms 0.16Mbps]
67.221.249.24:443#SI [280.32ms 0.25Mbps]
13.140.29.170:443#BG [280.49ms 2.47Mbps]
38.180.109.174:443#HU [280.76ms 2.21Mbps]
46.29.234.91:8443#LT [281.05ms 1.29Mbps]
185.214.99.235:443#BG [281.2ms 2.06Mbps]
37.221.210.113:443#HU [281.46ms 0.43Mbps]
94.176.235.22:443#LT [281.52ms 0.18Mbps]
185.214.99.241:8443#BG [281.75ms 2.59Mbps]
45.13.38.118:443#RO [281.76ms 0.29Mbps]
109.248.199.113:2053#KZ [281.93ms 0.1Mbps]
89.58.61.12:2053#AT [282.01ms 0.24Mbps]
185.179.82.246:443#BY [282.59ms 0.26Mbps]
13.140.29.97:443#BG [283.63ms 2.57Mbps]
185.237.185.182:2053#LT [283.71ms 0.11Mbps]
185.141.61.113:443#BG [284.02ms 0.11Mbps]
45.86.229.28:443#ES [285.09ms 0.15Mbps]
151.241.215.143:8443#IT [285.1ms 2.54Mbps]
130.94.58.215:8443#SA [287.44ms 2.81Mbps]
89.185.82.188:443#MK [287.5ms 0.13Mbps]
130.12.171.173:443#LT [288.24ms 2.42Mbps]
208.85.21.8:443#ES [288.31ms 2.25Mbps]
85.120.229.72:8443#RO [289.8ms 0.0Mbps]
194.135.83.166:8443#LT [289.83ms 2.14Mbps]
94.43.238.112:2053#GE [290.43ms 3.15Mbps]
62.182.102.24:443#BY [291.18ms 0.01Mbps]
213.210.4.238:443#TW [292.19ms 0.0Mbps]
5.157.30.28:8443#IE [292.25ms 0.0Mbps]
144.31.243.69:443#LT [292.93ms 1.43Mbps]
2.56.207.67:443#AM [293.57ms 1.5Mbps]
194.5.98.17:443#NO [294.43ms 1.0Mbps]
2.135.146.15:443#KZ [294.92ms 0.24Mbps]
194.5.98.105:8443#NO [295.53ms 0.24Mbps]
89.46.42.92:8443#SK [295.76ms 1.4Mbps]
198.55.103.168:443#IE [296.25ms 3.69Mbps]
91.198.108.211:2053#AM [298.91ms 0.72Mbps]
63.32.194.15:8443#IE [299.36ms 1.17Mbps]
181.36.229.212:2083#DO [301.57ms 0.78Mbps]
91.149.167.147:8443#BY [301.75ms 0.24Mbps]
86.107.198.133:2053#KZ [302.4ms 2.15Mbps]
63.32.194.15:2053#IE [303.07ms 3.11Mbps]
176.12.77.119:443#KZ [303.43ms 0.24Mbps]
194.55.164.154:8443#CY [304.12ms 0.18Mbps]
142.4.215.110:443#CA [305.99ms 0.08Mbps]
24.150.16.183:8443#CA [308.0ms 0.34Mbps]
93.115.25.111:443#LT [308.59ms 0.42Mbps]
202.50.55.76:443#NO [309.55ms 0.16Mbps]
86.107.198.133:8443#KZ [309.56ms 2.35Mbps]
192.99.55.53:8443#CA [309.67ms 0.07Mbps]
172.98.207.58:443#CA [309.95ms 0.06Mbps]
185.75.241.170:443#AT [310.36ms 2.55Mbps]
179.255.190.5:443#IT [311.24ms 0.12Mbps]
146.190.255.153:443#CA [313.45ms 0.05Mbps]
185.241.7.178:443#IL [313.66ms 0.09Mbps]
194.55.164.118:443#CY [314.47ms 0.2Mbps]
77.91.69.141:2053#IL [314.82ms 0.18Mbps]
94.131.83.94:8443#KZ [315.75ms 0.25Mbps]
91.207.75.26:443#KZ [315.85ms 1.25Mbps]
199.189.253.250:443#KZ [316.02ms 0.44Mbps]
132.243.203.213:8443#AT [317.04ms 0.08Mbps]
185.179.82.201:443#BY [317.1ms 0.16Mbps]
92.112.48.149:443#AT [318.3ms 0.21Mbps]
213.111.149.58:8443#UA [321.99ms 0.2Mbps]
94.20.154.66:443#AZ [323.42ms 0.27Mbps]
185.104.181.228:443#RO [325.05ms 0.32Mbps]
179.255.190.21:443#IT [325.66ms 0.0Mbps]
138.16.178.169:443#IS [325.89ms 0.13Mbps]
194.55.166.65:2087#CY [327.14ms 2.61Mbps]
81.29.149.219:2053#NO [327.9ms 2.94Mbps]
54.229.164.147:2053#IE [328.94ms 0.21Mbps]
192.99.169.176:443#CA [329.67ms 0.04Mbps]
194.135.85.34:443#LT [330.46ms 0.21Mbps]
81.29.149.219:8443#NO [331.12ms 2.21Mbps]
195.133.92.20:443#PT [331.34ms 0.1Mbps]
179.255.190.6:443#IT [333.37ms 0.08Mbps]
64.176.10.195:443#CL [333.53ms 2.19Mbps]
159.203.2.180:443#CA [333.81ms 0.08Mbps]
185.48.251.115:443#RS [334.46ms 0.04Mbps]
130.94.58.215:443#SA [334.8ms 2.53Mbps]
213.111.148.137:443#UA [334.83ms 1.41Mbps]
156.38.157.171:2053#ZA [335.6ms 0.45Mbps]
80.208.227.162:443#LT [336.08ms 0.17Mbps]
212.192.23.56:443#LT [336.48ms 0.09Mbps]
5.157.30.26:8443#IE [337.93ms 0.0Mbps]
185.105.108.92:8443#RS [341.92ms 0.51Mbps]
151.242.188.152:443#TW [345.77ms 0.16Mbps]
38.54.59.70:443#EG [346.62ms 0.2Mbps]
85.237.207.126:443#TW [352.44ms 0.24Mbps]
194.180.191.123:443#MD [353.04ms 0.15Mbps]
64.176.11.9:8443#CL [354.04ms 2.1Mbps]
147.139.189.225:443#ID [354.33ms 0.26Mbps]
195.133.18.146:443#RS [355.58ms 0.28Mbps]
89.125.139.115:443#AL [356.14ms 0.14Mbps]
64.176.12.48:443#CL [358.31ms 2.36Mbps]
173.242.63.235:8443#UA [362.13ms 2.84Mbps]
216.238.80.148:8443#MX [369.9ms 0.0Mbps]
193.108.112.65:443#AL [370.75ms 0.56Mbps]
216.238.82.140:8443#MX [378.56ms 2.84Mbps]
195.144.24.134:443#MK [378.86ms 3.04Mbps]
31.77.201.26:443#IT [387.7ms 1.31Mbps]
185.163.45.40:443#MD [389.69ms 0.12Mbps]
216.238.79.83:8443#MX [397.49ms 2.1Mbps]
146.235.59.153:2053#BR [398.47ms 0.15Mbps]
147.45.116.9:443#BR [407.37ms 1.4Mbps]
90.156.220.194:2053#AE [407.7ms 0.21Mbps]
107.150.20.112:8443#IE [410.47ms 0.26Mbps]
172.86.77.145:443#AE [418.62ms 0.26Mbps]
185.125.171.128:8443#NO [421.79ms 0.19Mbps]
43.169.18.179:443#ID [434.81ms 0.0Mbps]
2.27.174.68:443#TW [441.82ms 0.06Mbps]
85.209.157.30:443#IL [468.13ms 0.27Mbps]
136.0.254.164:443#MY [500.04ms 1.33Mbps]
139.84.231.16:8443#ZA [504.93ms 0.41Mbps]
85.185.86.111:2053#AZ [596.7ms 0.1Mbps]
103.70.115.106:8443#VN [1044.37ms 0.15Mbps]
101.108.49.121:443#TH [1162.19ms 0.21Mbps]
157.22.128.7:443#UZ [1211.01ms 3.42Mbps]
89.46.42.141:8443#SK [1251.25ms 2.66Mbps]
193.36.38.17:443#MD [1255.18ms 0.27Mbps]
91.250.248.151:443#GR [1265.3ms 0.42Mbps]
8.213.199.128:443#TH [1268.16ms 0.09Mbps]
84.235.245.65:2096#AE [1273.56ms 1.91Mbps]
